iters,train_acc,test_acc
745,0.9889,0.9799
746,0.9886,0.98
747,0.9886,0.9801
748,0.9886,0.9801
749,0.9886,0.9801
750,0.9887,0.9799
751,0.9886,0.9792
752,0.9885,0.9802
753,0.9886,0.9801
754,0.9887,0.98
755,0.9887,0.9802
756,0.9886,0.9804
757,0.9887,0.98
758,0.9886,0.9803
759,0.9886,0.98
760,0.9886,0.9799
761,0.9886,0.98
762,0.9885,0.9804
763,0.9887,0.98
764,0.9886,0.9803
765,0.9887,0.9802
766,0.9886,0.9799
767,0.9887,0.9801
768,0.9887,0.9801
769,0.9888,0.9796
770,0.9886,0.9802
771,0.9888,0.9803
772,0.9887,0.9802
773,0.9886,0.98
774,0.9886,0.98
775,0.9887,0.98
776,0.9886,0.9805
777,0.9886,0.9802
778,0.9887,0.9797
779,0.9884,0.98
780,0.9888,0.98
781,0.9887,0.9798
782,0.9888,0.9797
783,0.9886,0.9797
784,0.9886,0.9799
785,0.9884,0.9803
786,0.9886,0.9802
787,0.9887,0.9801
788,0.9886,0.98
789,0.9887,0.98
790,0.9885,0.9797
791,0.9886,0.98
792,0.9886,0.9799
793,0.9887,0.9801
794,0.9884,0.9802
795,0.9887,0.9802
796,0.9887,0.9801
797,0.9886,0.9804
798,0.9886,0.9802
799,0.9885,0.9801
800,0.9886,0.9799
801,0.9887,0.9803
802,0.9886,0.9798
803,0.9887,0.98
804,0.9886,0.98
805,0.9886,0.98
806,0.9886,0.9801
807,0.9886,0.9798
808,0.9886,0.9801
809,0.9888,0.9798
810,0.9888,0.9797
811,0.9886,0.9801
812,0.9888,0.9797
813,0.9887,0.9802
814,0.9888,0.9801
815,0.9886,0.9804
816,0.9888,0.98
817,0.9886,0.9802
818,0.9887,0.9799
819,0.9887,0.98
820,0.9887,0.98
821,0.9888,0.9803
822,0.9886,0.9796
823,0.9889,0.98
824,0.9887,0.9799
825,0.9886,0.9795
826,0.9887,0.98
827,0.9888,0.9801
828,0.9887,0.9801
829,0.9886,0.9798
830,0.9886,0.9799
831,0.9888,0.9798
832,0.9887,0.9804
833,0.9887,0.9798
834,0.9886,0.9802
835,0.9888,0.9798
836,0.9887,0.9801
837,0.9888,0.9796
838,0.9886,0.9804
839,0.9886,0.9802
840,0.9886,0.9801
841,0.9886,0.9801
842,0.9887,0.9802
843,0.9886,0.9799
844,0.9885,0.9798
845,0.9888,0.9799
846,0.9886,0.9799
847,0.9885,0.9802
848,0.9887,0.9802
849,0.9886,0.98
850,0.9886,0.9797
851,0.9887,0.9801
852,0.9885,0.9802
853,0.9887,0.9796
854,0.9888,0.9797
855,0.9888,0.98
856,0.9886,0.98
857,0.9886,0.9798
858,0.9886,0.9803
859,0.9888,0.9799
860,0.9884,0.9805
861,0.9887,0.9799
862,0.9886,0.98
863,0.9886,0.98
864,0.9885,0.9804
865,0.9885,0.98
866,0.9887,0.98
867,0.9887,0.9803
868,0.9888,0.9799
869,0.9888,0.98
870,0.9887,0.98
871,0.9888,0.9799
872,0.9886,0.9802
873,0.9886,0.9801
874,0.9886,0.9801
875,0.9886,0.9801
876,0.9887,0.98
877,0.9886,0.9797
878,0.9886,0.98
879,0.9886,0.98
880,0.9886,0.9798
881,0.9887,0.9801
882,0.9886,0.9797
883,0.9888,0.9797
884,0.9888,0.9801
885,0.9886,0.98
886,0.9886,0.9799
887,0.9889,0.9794
888,0.9885,0.9802
889,0.9888,0.9795
890,0.9887,0.9797
891,0.9887,0.9802
892,0.9886,0.9798
893,0.9888,0.9796
894,0.9886,0.9799
895,0.9887,0.9799
896,0.9887,0.9797
897,0.9886,0.9797
898,0.9889,0.9801
899,0.9887,0.9799
900,0.9886,0.98
901,0.9886,0.9798
902,0.9887,0.9801
903,0.9886,0.9803
904,0.9886,0.9794
905,0.9886,0.9799
906,0.9887,0.9796
907,0.9886,0.9803
908,0.9887,0.9799
909,0.9886,0.98
910,0.9887,0.9801
911,0.9887,0.9802
912,0.9888,0.9802
913,0.9886,0.98
914,0.9888,0.9799
915,0.9889,0.9799
916,0.9885,0.9802
917,0.9888,0.9798
918,0.9886,0.9802
919,0.9886,0.9798
920,0.9887,0.9798
921,0.9888,0.9797
922,0.9887,0.98
923,0.9886,0.9797
924,0.9888,0.9797
925,0.9886,0.9803
926,0.9887,0.9796
927,0.9887,0.9797
928,0.9888,0.9802
929,0.989,0.9798
930,0.9888,0.9799
931,0.9886,0.9799
932,0.9887,0.9795
933,0.9886,0.9798
934,0.9888,0.9802
935,0.9887,0.9798
936,0.9887,0.9797
937,0.9889,0.9798
938,0.9886,0.9799
939,0.9887,0.9795
940,0.9885,0.9801
941,0.9886,0.98
942,0.9886,0.9802
943,0.9889,0.9797
944,0.9888,0.9796
945,0.9886,0.98
946,0.9886,0.9803
947,0.9885,0.9799
948,0.9886,0.9803
949,0.9887,0.9798
950,0.9887,0.9802
951,0.9887,0.9798
952,0.9886,0.98
953,0.9887,0.98
954,0.9886,0.9799
955,0.9886,0.98
956,0.9889,0.9796
957,0.9888,0.9801
958,0.9886,0.9801
959,0.9888,0.9799
960,0.9888,0.9794
961,0.9888,0.9799
962,0.9886,0.9801
963,0.9885,0.9803
964,0.9888,0.9797
965,0.9887,0.9802
966,0.9887,0.9801
967,0.9888,0.98
968,0.9887,0.9801
969,0.9888,0.9797
970,0.9887,0.9802
971,0.9888,0.9797
972,0.9887,0.9801
973,0.9889,0.9797
974,0.9888,0.9799
975,0.9888,0.9799
976,0.9888,0.9797
977,0.9887,0.9794
978,0.9887,0.9794
979,0.9887,0.9801
980,0.9886,0.9802
981,0.9888,0.9796
982,0.9888,0.9798
983,0.9886,0.98
984,0.9887,0.9799
985,0.9888,0.9799
986,0.9888,0.9798
987,0.9888,0.9799
988,0.9887,0.9801
989,0.9887,0.98
990,0.9888,0.9799
991,0.9887,0.9799
992,0.9887,0.98
993,0.9887,0.9802
994,0.9886,0.9798
995,0.9887,0.98
996,0.9886,0.9801
997,0.9887,0.9797
998,0.9886,0.9798
999,0.9887,0.9799
